"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","12pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C6,C7,C8,C9,C10,C11,C12,C13,C23","10","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","4,7uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5,C15,C16","3","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C14","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C17,C18,C25,C26,C28,C31,C32","7","10uF","","","","Capacitor_SMD:C_1210_3225Metric",""
"C19","1","33nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C20,C29,C30","3","22uF","","","","Capacitor_SMD:C_1210_3225Metric",""
"C21,C22,C24,C27,C33,C34,C36","7","100nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C35,C37","2","30pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","LED_START","","","","LED_THT:LED_D3.0mm",""
"D2","1","","","","","my_details:LED_AKA",""
"D3","1","LED_RAGB","","","","LED_THT:LED_D5.0mm-4_RGB",""
"J1,J2","2","Conn_01x03","","","","Connector_Molex:Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",""
"J4","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J5","1","Display","","","","Connector_FFC-FPC:Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal",""
"L1","1","3.3uH","","","","RP2350_60QFN_minimal:L_pol_2016",""
"L2","1","1uH","","","","Inductor_SMD:L_Cenker_CKCS3012",""
"L3","1","2.2uH","","","","Inductor_SMD:L_APV_ANR6020",""
"R1,R17,R25","3","220","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R28,R29","3","33","","","","Resistor_SMD:R_0805_2012Metric",""
"R3,R19,R20,R21,R23,R24","6","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R4","1","200k 1%","","","","Resistor_SMD:R_0805_2012Metric",""
"R5,R6","2","27","","","","Resistor_SMD:R_0805_2012Metric",""
"R7,R14,R15","3","5.1k","","","","Resistor_SMD:R_0805_2012Metric",""
"R8,TH1","2","100k","","","","Resistor_SMD:R_0805_2012Metric",""
"R9","1","61.9k","","","","Resistor_SMD:R_0805_2012Metric",""
"R10","1","19.6k","","","","Resistor_SMD:R_0805_2012Metric",""
"R11","1","560k","","","","Resistor_SMD:R_0805_2012Metric",""
"R12","1","91k","","","","Resistor_SMD:R_0805_2012Metric",""
"R13","1","4.7M","","","","Resistor_SMD:R_0805_2012Metric",""
"R16","1","0.5","","","","Capacitor_SMD:C_1206_3216Metric",""
"R18","1","90k","","","","Resistor_SMD:R_0805_2012Metric",""
"R22","1","82k","","","","Resistor_SMD:R_0805_2012Metric",""
"R26","1","100k 1%","","","","Resistor_SMD:R_0805_2012Metric",""
"R27","1","150","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1,SW3","2","BUTTON","","","","my_footprints:Tactile_Switch_6x6x7,3_H5.0",""
"SW2","1","BUT_START","","","","Button_Switch_THT:SW_PUSH-12mm",""
"SW4","1","SW_SPST","","","","my_footprints:PQZULK CB-1212-112D",""
"U1","1","RP2350A","","","","Package_DFN_QFN:QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm","https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf"
"U2","1","DRL2180_OUT","","","","my_footprints:DRL2180",""
"U3","1","W25Q32JVSS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf"
"U4","1","TLV62130RGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm_ThermalVias",""
"U5","1","DRL2180_IN","","","","my_footprints:DRL2180",""
"U6","1","IP2326","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias",""
"U7","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"Y1","1","12MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
